CLASS;FREQ
2140.0-5281.0;51.56
5281.0-8422.0;0.0
8422.0-11563.0;0.0
11563.0-14704.0;0.0
14704.0-17845.0;0.0
17845.0-20986.0;0.0
20986.0-24127.0;0.0
24127.0-27268.0;0.0
27268.0-30409.0;0.0
30409.0-33550.0;0.0
33550.0-36691.0;0.0
36691.0-39832.0;0.0
39832.0-42973.0;0.0
42973.0-46114.0;0.0
46114.0-49255.0;0.0
49255.0-52396.0;0.0
52396.0-55537.0;0.0
55537.0-58678.0;0.0
58678.0-61819.0;0.0
61819.0-64960.0;0.0
64960.0-68101.0;0.0
68101.0-71242.0;0.0
71242.0-74383.0;0.0
74383.0-77524.0;0.0
77524.0-80665.0;0.0
80665.0-83806.0;48.44
